tconst,directors,writers
tt1861333,nm3883728,nm3883728
tt1861334,nm1724912,"nm1210565,nm1210984"
tt1861336,\N,"nm0973946,nm0310375,nm1020428"
tt1861340,nm4363294,nm1729308
tt1861343,nm4363490,nm4363490
tt1861355,"nm3409824,nm2035281,nm0812626,nm1196612","nm3409824,nm2035281,nm0812626,nm1196612"
tt1861358,nm0200500,nm0200500
tt1861375,nm1367933,"nm0673681,nm1367933"
tt1861388,nm0465340,nm0465340
tt1861411,nm2151573,nm2204740
tt1861421,nm0948159,nm0848826
tt1861428,nm1039558,\N
tt1861441,nm2423129,\N
tt1861445,nm4363509,nm4363509
tt1861470,nm2381441,"nm2381441,nm2149065,nm2156214"
tt1861982,nm2815252,"nm2815694,nm2815252"
tt1862020,nm2039220,"nm2039220,nm1318193"
tt1862047,nm3355581,nm3355581
tt1862058,nm1493388,"nm4365348,nm1012912,nm0844032,nm0955825"
tt1862079,nm1119880,nm2081046
tt1862084,"nm2653470,nm3788187",nm2653470
tt1862444,nm4367286,nm0409942
tt1862457,nm0190389,nm0215853
tt1862458,nm4367499,nm4367499
tt1862462,nm4367151,nm4367516
tt1862466,nm4366973,"nm2297476,nm4366973"
tt1862472,nm0786919,nm0786919
tt1862479,"nm9847300,nm3200900",nm3200900
tt1862500,\N,\N
tt1862502,nm2357563,"nm2357563,nm3984355"
tt1863132,"nm4726066,nm1480388",nm4369488
tt1863143,nm2581639,nm2581639
tt1863146,"nm3857844,nm3857396",nm3857844
tt1863160,nm2265756,"nm4369202,nm2265756"
tt1863169,nm0006745,\N
tt1863171,nm12066246,\N
tt1863174,"nm4369371,nm3613571",nm3613571
tt1863192,nm0653768,"nm3519336,nm0653768,nm0789394"
tt1863201,nm0815418,nm0815418
tt1863203,nm3106201,nm3106201
tt1863231,nm0668613,nm0668613
tt1863238,nm4368676,nm4368676
tt1863241,nm0944152,nm0944152
tt1863242,nm0358406,nm0358406
tt1863245,nm4369079,nm4369079
tt1863262,"nm3296661,nm0818262",\N
tt1863265,nm3825652,nm3825652
tt1863268,nm1349821,"nm1349821,nm1440551"
tt1863280,nm0521353,nm0521353
tt1863292,\N,\N
tt1863293,nm0653768,"nm3519336,nm0653768"
tt1863296,nm3370930,"nm4369673,nm3370930"
tt1863298,nm0698228,"nm0583289,nm0417873"
tt1863299,nm3372047,nm4369995
tt1863305,nm0865966,"nm0294379,nm0865966"
tt1863318,nm0305869,"nm0874093,nm1939286,nm0305869,nm0044156"
tt1863321,nm4368334,nm4368334
tt1863323,nm2718943,nm2718943
tt1863334,nm0857002,\N
tt1863347,nm2979103,"nm2948393,nm3136459,nm3136748,nm3286715"
tt1863352,nm0213476,"nm0213476,nm1300507"
tt1863364,nm1961741,nm1961741
tt1863370,nm0135576,"nm0135576,nm0682709,nm4412945"
tt1863372,"nm1380723,nm0362474",\N
tt1863406,nm2782976,\N
tt1863408,nm2805848,"nm2259567,nm2805848"
tt1863418,nm2652686,nm2652686
tt1863426,nm4215280,"nm4356228,nm4215280,nm3033272"
tt1863431,nm4369603,\N
tt1863441,nm2782976,\N
tt1864227,nm4371853,nm4371853
tt1864253,nm2770339,"nm2770213,nm2770339"
tt1864267,nm4372039,"nm4372039,nm4415512"
tt1864288,nm0281869,\N
tt1864292,nm4015781,\N
tt1864354,nm0807714,nm0807714
tt1864368,nm2607226,nm2607226
tt1864374,nm1958762,nm1233619
tt1864380,nm3742337,nm3742337
tt1864394,nm4254368,nm4254368
tt1864405,nm0695857,"nm4371422,nm0510229"
tt1864410,nm0466629,nm0466629
tt1864411,"nm4371472,nm4085640,nm2611855",nm4085640
tt1864412,nm4371374,\N
tt1864434,"nm4371344,nm4371651","nm4371651,nm4371344"
tt1864437,nm2922921,nm2922921
tt1864442,nm4371454,nm4371454
tt1864455,nm0429535,"nm0095442,nm0886165"
tt1864486,"nm4455975,nm4372024,nm4371615,nm3112035","nm4455975,nm4372024"
tt1864488,nm3920601,nm3920601
tt1864491,nm3216778,nm3630363
tt1864492,nm4371760,"nm4371760,nm1379345"
tt1864494,nm1970399,"nm3308746,nm1970399"
tt1864526,nm0154104,"nm0154104,nm1512380"
tt1864549,nm1097974,nm1097974
tt1864557,nm0442455,"nm0442455,nm1641338"
tt1865291,nm1527069,\N
tt1865335,nm0894173,"nm0210503,nm0894173"
tt1865337,nm3973676,nm3973676
tt1865339,nm1961754,\N
tt1865346,nm0542638,"nm0542638,nm2924852"
tt1865349,nm1828293,nm1828293
tt1865354,nm2445201,"nm1841073,nm2390748"
tt1865357,nm1377207,"nm1183471,nm1377207"
tt1865362,nm2454421,"nm3530922,nm3566439"
tt1865364,nm4372755,"nm4372755,nm4373623,nm3258282"
tt1865371,nm4372927,nm4372927
tt1865374,nm2154519,"nm4373709,nm0658104"
tt1865375,"nm0352118,nm0024930","nm4246539,nm0812228"
tt1865381,nm1988171,nm1988171
tt1865384,nm1341601,nm1341601
tt1865387,nm4373698,nm4373698
tt1865393,nm0678786,nm0678786
tt1865402,nm4258876,"nm3349127,nm2259567,nm4396758,nm4374003"
tt1865403,"nm3527240,nm3412094",\N
tt1865404,nm2208454,nm2208454
tt1865407,nm1444056,nm2113699
tt1865419,nm2432328,"nm4372695,nm0850413,nm2432328"
tt1865421,nm1297154,nm1297154
tt1865423,nm1551122,nm1551122
tt1865425,nm1871577,nm9147787
tt1865440,nm2556420,nm2556420
tt1865446,nm4372732,nm4372732
tt1865450,"nm2680270,nm4374332",nm2680270
tt1865454,nm1893182,"nm0604229,nm1893182"
tt1865470,nm0319593,nm4373968
tt1865477,nm1320458,nm1320458
tt1865482,nm1351271,nm3636307
tt1865484,nm0522844,nm0522844
tt1865503,nm1846132,nm1846132
tt1865505,nm1119079,"nm3822528,nm1119079"
tt1865510,nm4373315,nm4373315
tt1865516,nm4339474,\N
tt1865517,nm4679427,\N
tt1865519,nm4373995,nm4373995
tt1865524,"nm2177324,nm1006696",nm1006696
tt1865541,nm2910657,\N
tt1865545,nm1014503,nm1014503
tt1865547,nm3432349,"nm6362394,nm6995071,nm3432349,nm3464786"
tt1865551,"nm6013101,nm4133399,nm4161463","nm4133399,nm4161463"
tt1865569,nm3252853,"nm3252853,nm12175363,nm12171842"
tt1865573,nm0819527,"nm0819527,nm0921517"
tt1866092,nm2310168,\N
tt1866094,nm0294274,nm0294274
tt1866124,nm3779621,nm3779621
tt1866132,nm0456103,nm0456103
tt1866134,nm3246369,"nm4375589,nm3246369"
tt1866143,"nm4375481,nm5682145","nm4375141,nm5682554,nm5682145"
tt1866197,nm3575872,"nm4374826,nm3575872"
tt1866205,nm0116511,"nm0116511,nm2640138,nm0110292,nm2766853"
tt1866221,nm1521546,nm1521546
tt1866249,nm0506802,"nm0506802,nm0639694"
tt1866251,nm0427896,"nm5351323,nm0427896"
tt1866255,nm1637865,nm2423453
tt1866258,nm2646310,nm2646310
tt1866269,nm1509373,"nm1509373,nm4415299"
tt1866275,nm0429964,\N
tt1866283,nm2961323,nm0463673
tt1866310,nm2765734,nm2765734
tt1866919,nm1475971,nm0899299
tt1866931,nm3410783,"nm4377488,nm3023921"
tt1866956,nm3032813,nm1451849
tt1866968,"nm4377841,nm1558425",\N
tt1866971,"nm3319867,nm0557749",nm3319867
tt1867008,nm0866210,nm0866210
tt1867035,nm2778352,nm2134185
tt1867043,nm1315567,"nm3941876,nm1315567"
tt1867044,nm1184573,nm1184573
tt1867045,nm2043822,nm1827439
tt1867051,nm3032813,nm3032813
tt1867061,nm4377836,nm4377836
tt1867062,nm3032813,nm0933214
tt1867064,nm4376891,nm4376891
tt1867070,nm1805326,"nm4387169,nm4386298"
tt1867079,nm3032813,nm3032813
tt1867080,nm3888862,nm3888862
tt1867086,nm2313736,"nm2430504,nm0219270,nm0676301"
tt1867091,nm0124112,"nm0124112,nm2965744"
tt1867093,nm0915838,"nm0997459,nm0915838"
tt1867094,nm3032813,nm1206002
tt1867101,nm1033032,"nm4377318,nm2041208"
tt1867127,nm3951145,nm3951145
tt1867511,nm4378729,nm3033272
tt1867515,nm1830520,"nm0151434,nm1183306"
tt1867521,nm1823283,\N
tt1867539,nm4114199,"nm3556568,nm4114199"
tt1867566,nm3255587,"nm3255587,nm2423976"
tt1867570,nm0723818,"nm0723818,nm0867718"
tt1867595,nm6668675,\N
tt1867597,nm3032813,nm4356228
tt1867612,nm4378697,nm4378423
tt1867616,nm4378552,nm4378552
tt1867623,"nm2593168,nm0989293",nm2595350
tt1867643,nm4378729,nm4378729
tt1867984,nm3867193,\N
tt1867988,nm1488578,"nm4379365,nm2006889,nm1511270,nm1488578,nm1852165"
tt1867997,nm3156306,nm3156306
tt1868050,"nm4379588,nm4379760","nm4379760,nm4379588"
tt1868056,nm4380400,"nm4380400,nm4379419"
tt1868059,"nm4379603,nm4379585","nm4379743,nm2054066,nm0636903,nm11630662,nm4379585,nm4379490,nm4379603"
tt1868070,nm0889402,"nm0889402,nm0889403,nm0274853"
tt1868090,nm4379456,nm4379456
tt1868092,nm0762773,nm0762773
tt1869226,nm1335875,"nm1335875,nm4807713,nm4603719"
tt1869233,nm1335378,nm3896263
tt1869236,nm4246950,nm4246950
tt1869245,nm1755289,"nm1755289,nm1958160"
tt1869252,nm0862015,"nm1509215,nm0435454"
tt1869253,"nm4381682,nm9860931","nm4552380,nm4549658"
tt1869265,"nm7281590,nm1364362","nm0370977,nm1364363"
tt1869296,nm0700872,"nm4189429,nm0700872,nm4488268"
tt1869297,"nm4382815,nm4384181","nm4382815,nm4384181"
tt1869309,"nm3112470,nm2444240","nm2444240,nm3112470"
tt1869318,nm8998201,nm8998201
tt1869320,nm4382197,\N
tt1869335,nm3064624,nm1950123
tt1869345,nm1740286,"nm2136480,nm3636371,nm4388324,nm1740286,nm2758974,nm1109908"
tt1869347,nm0660707,"nm0660707,nm0271501,nm0002005,nm0741217"
tt1869359,nm1065427,nm1065427
tt1869366,nm4382166,nm4382166
tt1869373,nm0562896,"nm4383365,nm0562896"
tt1869385,nm4383295,"nm2819123,nm2818296"
tt1869395,nm2024795,"nm2024795,nm3547137"
tt1869416,nm1302165,"nm4677225,nm0077094,nm0142453,nm1543823"
tt1869425,"nm0216459,nm0201524","nm0216459,nm0201524,nm1226077"
tt1869453,nm0847545,nm1215757
tt1869470,nm3257589,nm3184529
tt1869491,nm4383938,nm4383938
tt1869496,nm3846225,\N
tt1869504,nm1234547,nm0223223
tt1869509,"nm4475180,nm4475194","nm4475180,nm4475226,nm4475343"
tt1869512,nm1849697,nm1849697
tt1869514,"nm1802688,nm2196693","nm1802688,nm2196693"
tt1869518,"nm1888517,nm1884194",\N
tt1869538,nm4381778,nm4381778
tt1869555,nm0772905,\N
tt1869556,nm0772905,\N
tt1869577,nm1384445,nm1384445
tt1869578,nm4206812,"nm2285509,nm4206673"
tt1869592,nm0133253,nm0133253
tt1869616,"nm4384030,nm4382335,nm4381657",nm3307743
tt1869631,nm1255207,nm1255207
tt1869638,nm1068809,nm1068809
tt1869640,nm2353436,nm2353436
tt1869642,nm1754496,nm1754496
tt1869648,nm1602134,"nm1948790,nm1602134"
tt1869653,nm2282414,nm2282414
tt1869660,nm4382098,nm4382098
tt1869671,nm0990308,"nm0341219,nm0452714"
tt1869677,"nm1047180,nm7679856","nm0559535,nm1047180"
tt1869678,"nm7679856,nm1047180","nm0559535,nm1047180"
tt1869679,"nm1047180,nm7679856","nm0559535,nm1047180"
tt1869682,nm3892733,"nm3892733,nm4691847,nm3892831,nm3916877,nm3849344"
tt1869690,"nm4382877,nm4383580","nm4383580,nm4382877"
tt1869710,nm4304014,nm4304014
tt1869716,nm2610231,"nm2610231,nm1779870"
tt1869721,nm0232504,"nm0161159,nm1210118,nm0232504,nm7649240"
tt1869723,nm3685612,nm3685612
tt1869724,nm1199513,"nm0220297,nm0733975,nm0853401,nm1199513"
tt1869759,nm0415852,nm0415852
tt1869778,nm4190618,\N
tt1869785,nm4323284,"nm4323284,nm4383122,nm4541715"
tt1869790,nm1748951,\N
tt1869802,"nm2867292,nm7611083",\N
tt1869809,nm3410790,"nm3410790,nm4382299"
tt1869819,nm2878629,nm2878629
tt1869823,nm3687194,\N
tt1870317,nm0635145,"nm0516502,nm0635145"
tt1870353,nm5549949,nm5091093
tt1870359,nm1911122,\N
tt1870372,nm0001738,"nm1538885,nm3134912"
tt1870375,nm3787598,"nm3787598,nm3794465"
tt1870419,nm1103496,nm1697112
tt1870425,nm1866679,"nm1928849,nm2958665,nm1169463"
tt1870432,"nm4407167,nm4406918,nm4405955,nm4407114","nm0457218,nm3282006,nm4406003,nm4406408,nm4407123"
tt1870439,nm2774964,nm2774964
tt1870467,nm0660537,nm2012385
tt1870484,nm0027733,nm1076710
tt1870507,nm3184420,"nm3184420,nm0485895"
tt1870526,nm4415368,nm4415368
tt1870527,nm2572627,"nm0632051,nm2142110,nm2716769"
tt1870528,nm3420156,nm3420156
tt1870529,nm1400426,"nm1067779,nm1400426"
tt1870538,nm4391298,nm4391298
tt1870540,nm2973316,nm2973316
tt1870543,nm3894964,nm3894964
tt1870548,nm1726688,nm1468859
tt1870549,"nm1646034,nm2565124",\N
tt1870551,"nm1167675,nm2741810,nm3339008,nm2992553","nm2992553,nm2741810"
tt1870554,nm3189521,"nm4385258,nm3189521"
tt1870570,nm0244561,"nm0244561,nm1198525"
tt1870577,nm4159489,\N
tt1870579,\N,\N
tt1871191,nm2207212,nm2207212
tt1871199,nm2382042,\N
tt1871209,nm4386173,"nm4385854,nm4386609,nm4386173,nm4386159"
tt1871236,nm1641324,"nm1641324,nm1839665,nm1410739"
tt1871257,nm1868746,"nm2365031,nm4394133"
tt1871279,nm1771714,nm1771714
tt1871291,nm1540670,nm1540670
tt1871296,nm3241425,nm3241425
tt1871309,nm0799595,"nm0799595,nm1284642"
tt1871324,"nm0596302,nm4386317","nm0596302,nm4386317"
tt1871360,nm1918034,\N
tt1871361,"nm4387153,nm3686648",\N
tt1871373,"nm2036566,nm4385845",\N
tt1871391,nm3980226,"nm1727652,nm4386696"
tt1871403,nm1832399,"nm1832399,nm3008071"
tt1871404,nm3848006,nm3848006
tt1871406,nm0319271,nm0319271
tt1871417,nm2800483,nm2800483
tt1871420,nm1015063,nm0338381
tt1871425,nm0909099,nm0623437
tt1872026,nm0948107,\N
tt1872050,nm0613403,nm0613403
tt1872082,nm0660881,\N
tt1872083,nm0001129,\N
tt1872084,nm1044696,nm1637154
tt1872101,nm0000809,"nm0656528,nm0000809"
tt1872102,nm0000809,"nm0656528,nm0000809"
tt1872107,nm4389833,nm4389833
tt1872119,nm0781065,nm4389290
tt1872124,nm1494452,"nm4916726,nm1494452"
tt1872138,nm1841083,nm1841083
tt1872152,"nm4389897,nm4389939",nm4389897
tt1872167,nm0158305,nm0158305
tt1872173,nm1403221,"nm2427020,nm1131361,nm1403221"
tt1872174,nm4389414,nm4389414
tt1872181,nm1989536,"nm0476064,nm0649460,nm0684374,nm0888743,nm0498278,nm0228492"
tt1872188,nm4390113,\N
tt1872194,nm0229694,"nm1010405,nm4057793,nm0229694"
tt1872204,\N,\N
tt1872206,nm1774379,"nm1912565,nm1774379"
tt1872215,nm3087956,\N
tt1872220,nm1985209,"nm4389587,nm0648460"
tt1872225,"nm2383035,nm2384144,nm4391125","nm2383035,nm4390508,nm2384144"
tt1872780,"nm2677317,nm0101220",nm2677317
tt1872799,nm1686849,nm1686849
tt1872811,nm0801494,\N
tt1872818,nm1102140,nm1102140
tt1872819,nm4390099,"nm4389632,nm2545821,nm4389302,nm3083521"
tt1872871,nm3248232,nm3248232
tt1872880,nm0404485,"nm0404485,nm1768443"
tt1873536,nm2752482,nm2752482
tt1873540,nm4389466,"nm4389466,nm4389089,nm6515158"
tt1873551,nm0051301,"nm0051301,nm2793406,nm0896253"
tt1873575,nm1047180,"nm1024561,nm1047180"
tt1873580,nm4389977,"nm3554795,nm4390218,nm4390405"
tt1873586,nm0054285,nm0054285
tt1873590,nm1495389,"nm4389319,nm1495389"
tt1873591,nm0474856,nm0820208
tt1873603,nm0465372,nm0465372
tt1873626,"nm1949015,nm3493869",nm1949015
tt1873633,nm0018867,nm0018867
tt1874387,nm4392198,nm4392198
tt1874412,nm4392056,"nm4601202,nm4604152,nm4392056,nm4603686,nm4602591,nm4597518,nm4601260"
tt1874416,nm3564648,nm3564648
tt1874434,nm3413681,"nm5470141,nm3414193,nm3413681"
tt1874451,nm0578361,"nm2634567,nm0578361"
tt1874459,nm0040646,\N
tt1874472,"nm0820298,nm1307776","nm0820298,nm1307776"
tt1874513,nm2141317,"nm1805278,nm0359971,nm2141317"
tt1874516,nm4392117,\N
tt1874522,nm3152881,"nm3152881,nm0931783"
tt1874557,"nm4392865,nm4391799",nm4392865
tt1874577,nm3790573,"nm3794574,nm3790573"
tt1874583,nm4391781,nm4391781
tt1874592,nm0868399,nm0868399
tt1874601,nm1644904,nm4392535
tt1874615,nm1167591,\N
tt1874633,nm0782384,nm0534621
tt1874644,nm1444969,nm2170656
tt1874646,nm0377504,"nm0377504,nm4197444,nm2925389"
tt1874649,nm0697935,"nm0697935,nm3883775"
tt1874689,nm2352606,nm2352606
tt1874708,nm3608198,\N
tt1874742,"nm3693387,nm0343980,nm4544646","nm0343980,nm0506699,nm2112033,nm4544646,nm3693387"
tt1874758,nm4033650,nm4033650
tt1874779,nm0145581,"nm0145581,nm2299593"
tt1874787,nm4264429,nm4264429
tt1874789,nm1633080,"nm1633080,nm0523061"
tt1874804,nm4263794,"nm4391878,nm0047981"
tt1876227,"nm4394529,nm4393347",nm4394529
tt1876230,nm3700651,nm3700651
tt1876235,nm3230639,"nm5148336,nm3230639"
tt1876248,"nm0899085,nm0806492",nm0817341
tt1876250,"nm3760126,nm1587401","nm2707225,nm3760126,nm1587401"
tt1876252,nm1584093,nm1584093
tt1876259,nm3281220,"nm3281220,nm4394357"
tt1876263,nm1031122,"nm4393762,nm1031122,nm1201108,nm0690390,nm3078017,nm1221965"
tt1876267,nm2348225,nm2348225
tt1876277,nm0639033,"nm0577505,nm4440471,nm0639033"
tt1876330,nm0200403,nm0537545
tt1876357,nm4394529,nm4394529
tt1876360,nm0749914,"nm0749914,nm4393780"
tt1876373,nm3233092,"nm4394691,nm3236934,nm3233092"
tt1876409,nm4393600,nm4393600
tt1876425,nm1998742,nm1998742
tt1876441,nm4394673,nm4394673
tt1876443,nm4393944,\N
tt1876451,nm0015328,"nm0015327,nm0001708,nm0742651"
tt1876466,nm0589114,nm2711519
tt1876476,nm2331663,"nm2660563,nm2235293,nm2660239"
tt1876503,nm1830078,"nm1830078,nm2523063,nm4394359,nm4394473"
tt1876513,nm0948250,\N
tt1876517,"nm5228798,nm2222215","nm5228798,nm2949944,nm1802940"
tt1876535,nm0879726,nm0879726
tt1877543,"nm0973321,nm4395656","nm3108127,nm4892642,nm4395656"
tt1877545,nm0231439,"nm0231439,nm2034464"
tt1877560,nm2682682,nm4395466
tt1877580,nm1924282,"nm2464638,nm1924282"
tt1877589,nm0430782,nm4395218
tt1877602,nm0610182,"nm0610182,nm0329825,nm0277230"
tt1877624,nm3970178,nm3970178
tt1877646,nm1496018,"nm1494874,nm4395433"
tt1877669,nm0559285,nm3015321
tt1877688,nm0453003,"nm0453003,nm3619255"
tt1877691,nm2327068,"nm2327068,nm2016161"
tt1877707,nm0343980,nm3276525
tt1877722,nm1699780,\N
tt1877727,"nm0745043,nm0918724",\N
tt1877738,nm2691863,nm2691863
tt1877741,nm2563700,nm2563700
tt1877788,nm1594481,nm1594481
tt1877797,nm0492825,"nm0164929,nm0265463,nm1324831"
tt1877803,nm3601988,nm4395701
tt1877808,nm0343831,nm0343831
tt1877832,nm0001741,"nm1334526,nm0963359,nm0891216,nm0456158,nm0498278"
tt1877853,nm1047123,"nm1843779,nm1047123"
tt1877890,nm0684310,"nm0684310,nm1106282"
tt1877892,nm0003931,nm2173404
tt1877893,nm0458328,nm0458328
tt1877894,nm0456693,nm4396156
tt1878841,nm0572562,"nm0572562,nm2453858,nm1324960,nm0926625"
tt1878842,nm4398553,nm4404175
tt1878858,nm2265115,nm2265115
tt1878870,nm2609807,nm2609807
tt1878884,nm0570165,"nm1677454,nm0570165"
tt1878917,nm0616734,nm1699799
tt1878933,nm4392205,nm4392205
tt1878937,nm2127333,\N
tt1878942,nm0625245,nm1520649
tt1878964,nm0950841,nm0950841
tt1878969,nm2071853,nm2071853
tt1879012,nm0110420,"nm0110420,nm2100833"
tt1879022,nm1041991,nm1041991
tt1879030,nm0099324,nm0099324
tt1879032,nm0585452,nm0558533
tt1879043,nm4069410,nm4069410
tt1879045,"nm0107074,nm0303678",\N
tt1879066,nm1471533,"nm1471533,nm3793332"
tt1879071,"nm3198967,nm2832339","nm3198967,nm2832339"
tt1879078,nm1119091,"nm1118327,nm1119091"
tt1879082,nm1400757,nm1400757
tt1879084,nm3067390,nm3067390
tt1880111,nm3876784,nm3876784
tt1880145,nm1763441,nm4400489
tt1880179,nm1164561,nm1164561
tt1880195,nm4399297,"nm5014679,nm4399297"
tt1880203,nm2817177,"nm2817177,nm1969746"
tt1880212,nm3632090,nm4399340
tt1880230,"nm4387223,nm3569428","nm3569428,nm4387223"
tt1880259,"nm4399299,nm4399229",nm4399299
tt1880279,nm0084347,nm0084347
tt1880290,nm4399684,"nm3441494,nm4399684,nm0003787"
tt1880293,nm1434966,"nm3768597,nm1434966"
tt1880306,nm4399509,"nm4399509,nm4400167"
tt1880310,nm1746170,nm4400110
tt1880313,nm3750916,nm3750916
tt1880314,nm1017632,\N
tt1880331,nm3123587,"nm3123587,nm1770987"
tt1880377,nm3624846,"nm3624846,nm0224887"
tt1880379,nm1936261,nm1936261
tt1880399,nm1764816,nm2267086
tt1880410,"nm1905323,nm4399883",nm1905323
tt1880415,nm0002055,nm4399190
tt1880418,nm0122653,nm0122653
tt1880908,nm1395112,nm4681321
tt1880921,nm3236014,"nm3236014,nm4058096,nm3231489"
tt1880923,nm2204102,"nm3878739,nm2204102"
tt1880940,nm0422355,nm0422355
tt1880984,"nm4628917,nm4401789,nm0994455",nm4401482
tt1881002,nm3918746,nm4401747
tt1881012,nm3407258,nm3407258
tt1881015,nm3734337,nm3734337
tt1881024,nm0442287,"nm4401003,nm1720703,nm1823479,nm1413412"
tt1881045,nm1066739,nm4122057
tt1881053,nm4401736,nm4401736
tt1881060,nm4401419,"nm1410462,nm4401419,nm1963249,nm2986811"
tt1881064,nm0329426,nm0329426
tt1881085,nm4011579,nm4011579
tt1881109,nm0290556,"nm4402028,nm2540514,nm1233728"
tt1882041,"nm1184864,nm1959340","nm1184864,nm4402837,nm4402925"
tt1882057,nm4064254,nm4064254
tt1882089,nm1322402,nm1322402
tt1882111,"nm4403124,nm1701229","nm4403124,nm1701229"
tt1882116,"nm4402836,nm4402872",\N
tt1882118,"nm1860784,nm3332361","nm3332361,nm1860784"
tt1882182,nm4403005,nm3390982
tt1883121,nm1210614,"nm1210614,nm1437485,nm4471946"
tt1883126,nm0724604,"nm1289127,nm4293173,nm2993900,nm2848474,nm4404897"
tt1883127,nm0039407,\N
tt1883133,nm0474275,nm0474275
tt1883160,nm3478746,nm3478746
tt1883167,nm0021311,nm0021311
tt1883168,"nm1313590,nm2293424,nm1494245,nm0623357,nm0009463,nm3201662,nm1548101","nm0009463,nm1313590,nm1548101,nm1171945,nm4226214,nm3201662,nm0623357,nm2293424,nm1494245"
tt1883179,nm0821526,"nm0083772,nm0821526"
tt1883180,nm0027815,nm0027815
tt1883184,nm3259685,nm3259685
tt1883187,nm0530865,"nm5644190,nm3155266,nm5644671,nm5643474"
tt1883217,"nm0621732,nm2725575",nm0621732
tt1883221,"nm2824431,nm3450302,nm1656222,nm0826814,nm2776118,nm2383130","nm2824431,nm2383130,nm2776118,nm3450302,nm1656222,nm0826814"
tt1883236,nm1323244,nm2460093
tt1883240,nm2008717,"nm1252389,nm2008717"
tt1883251,nm5887182,nm0857621
tt1883269,nm4404664,"nm3927503,nm4404391,nm4404664"
tt1883277,nm3287020,nm3287020
tt1883290,nm0721219,"nm4056747,nm4320683,nm1415124,nm4500657,nm4094639"
tt1883291,nm1155957,nm1155957
tt1883313,nm1482202,"nm1482202,nm4404855"
tt1883330,nm1848132,nm1848132
tt1883358,nm2541386,nm2541386
tt1883359,nm0001214,\N
tt1883362,nm4405460,nm4405460
tt1883367,nm1519353,nm1519353
tt1883370,nm2264275,nm2264275
tt1883386,nm0260738,"nm0023070,nm0260738"
tt1883397,nm0227625,nm0227625
tt1883399,\N,\N
tt1883400,nm0690940,"nm3979730,nm4405335,nm8243831"
tt1884254,nm4406496,nm4406496
tt1884258,nm1360810,"nm1863568,nm1360810"
tt1884263,nm3780298,nm3780298
tt1884268,nm3125271,"nm1879189,nm0025607,nm4299305,nm3876222,nm3049526,nm1656334"
tt1884273,nm3206350,\N
tt1884274,nm4221414,nm4221414
tt1884296,"nm0604732,nm3491677",nm0604732
tt1884312,nm0702987,"nm1107428,nm3759120,nm0702987"
tt1884318,"nm0388792,nm1347779","nm1842726,nm0388792,nm2074344"
tt1884331,nm4407014,\N
tt1884335,"nm3674355,nm1117510","nm1117510,nm3674355"
tt1884338,nm0003784,nm3836774
tt1884345,nm2526730,nm2526730
tt1884354,nm0939147,nm0939147
tt1884360,nm3887050,nm3256887
tt1884369,nm3462228,"nm3462228,nm3857221"
tt1884378,nm1327231,nm1327231
tt1884380,nm0206926,"nm0206926,nm4422647,nm0294586"
tt1884382,nm1296673,nm1296673
tt1884401,nm3864559,"nm3864559,nm4267328"
tt1884414,nm0744715,\N
tt1884431,nm4405909,\N
tt1884438,nm1028083,\N
tt1884447,nm1121649,nm1121649
tt1884457,nm0425364,nm4401003
tt1884461,nm0822178,"nm0200350,nm0822178"
tt1884465,nm1722750,nm1722750
tt1884495,nm4060924,nm4406838
tt1885171,nm0566754,"nm4407521,nm4408230,nm2055903,nm4408450,nm0566754"
tt1885198,nm2209537,nm1857323
tt1885206,nm3041537,\N
tt1885208,nm0754137,nm0754137
tt1885235,nm4408232,nm4408232
tt1885247,nm4407608,nm4407608
tt1885250,nm2339112,"nm2255323,nm4408095"
tt1885257,nm2747691,nm2747691
tt1885264,nm2225261,nm2225261
tt1885265,nm1347153,nm1347153
tt1885266,nm0946092,"nm3495679,nm3893533"
tt1885281,nm0215003,nm0215003
tt1885299,nm0341722,"nm1428204,nm2108776,nm0905176"
tt1885300,nm1197318,nm1197318
tt1885307,nm4407516,nm4408008
tt1885322,nm0664575,"nm0664575,nm0670655,nm0901286"
tt1885325,nm1554219,nm1554219
tt1885328,"nm4250553,nm2333996,nm4334281",\N
tt1885331,nm1523943,nm1523943
tt1885335,"nm4265029,nm3151327,nm4264958",\N
tt1885344,nm1007979,nm1007979
tt1885361,nm1906725,nm1906725
tt1885366,"nm1001318,nm2924118","nm2924118,nm1001318"
tt1885376,nm1876975,nm1876975
tt1885377,nm0374656,nm0374656
tt1885409,nm4123469,nm4123469
tt1885424,nm2932561,"nm2020038,nm2932561"
tt1885431,nm1311271,"nm1311271,nm3741227"
tt1885448,nm1018219,nm3188723
tt1885450,"nm2258734,nm1871830",nm1871830
tt1886449,nm1018206,nm1018206
tt1886482,nm0745037,nm0745037
tt1886486,nm4409018,\N
tt1886493,nm1980747,"nm1980747,nm2558161"
tt1886495,nm0714615,\N
tt1886502,nm3114621,nm3114621
tt1886504,"nm1095578,nm1847620","nm1847620,nm1095578"
tt1886526,nm2488601,"nm2938779,nm2712811,nm3342287,nm3867748,nm2321778,nm2488601,nm0774652,nm3861251,nm4409647,nm6632111,nm3067954,nm3145888,nm3343260"
tt1886531,nm1729048,nm1729048
tt1886593,nm0151733,nm0151733
tt1886642,nm3276986,nm1978997
tt1886649,nm3287722,nm3287722
tt1886651,"nm0476993,nm0196797","nm4410306,nm0078865,nm0015486,nm0476993"
